City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kanniyakumari,8.08,77.57,81.14,80,59,8.68,IN,2020-10-27 14:42:09
1,Srednekolymsk,67.45,153.68,11.93,88,83,6.82,RU,2020-10-27 14:42:09
2,Clyde River,70.47,-68.59,9.9,84,49,3.87,CA,2020-10-27 14:40:05
3,Rocha,-34.48,-54.33,64.99,67,76,13.85,UY,2020-10-27 14:42:10
4,Busselton,-33.65,115.33,61.0,69,54,9.33,AU,2020-10-27 14:40:15
5,Rikitea,-23.12,-134.97,74.97,85,82,17.38,PF,2020-10-27 14:42:10
6,Suba,10.84,121.01,83.59,78,97,18.21,PH,2020-10-27 14:42:10
7,Qaanaaq,77.48,-69.36,8.08,79,79,11.34,GL,2020-10-27 14:42:10
8,Vostok,46.49,135.88,28.71,95,24,3.76,RU,2020-10-27 14:42:10
9,Bredasdorp,-34.53,20.04,73.4,53,85,19.46,ZA,2020-10-27 14:42:10
10,Hay River,60.82,-115.8,24.8,92,90,12.75,CA,2020-10-27 14:42:11
11,Bauru,-22.31,-49.06,84.2,58,40,6.93,BR,2020-10-27 14:42:11
12,Srandakan,-7.94,110.25,77.27,88,100,3.74,ID,2020-10-27 14:42:11
13,Souillac,-20.52,57.52,77.0,69,40,9.17,MU,2020-10-27 14:42:11
14,Kenai,60.55,-151.26,30.2,92,1,1.63,US,2020-10-27 14:42:11
15,Mataura,-46.19,168.86,41.0,90,13,1.68,NZ,2020-10-27 14:42:11
16,Lebu,-37.62,-73.65,53.76,59,9,7.09,CL,2020-10-27 14:41:58
17,Cidreira,-30.18,-50.21,63.23,84,91,17.9,BR,2020-10-27 14:42:12
18,Biaora,23.87,76.92,74.73,35,0,0.96,IN,2020-10-27 14:42:12
19,Bluff,-46.6,168.33,41.0,90,3,7.31,NZ,2020-10-27 14:42:12
20,Yellowknife,62.46,-114.35,19.4,73,90,14.99,CA,2020-10-27 14:42:12
21,Cape Town,-33.93,18.42,71.01,72,20,14.99,ZA,2020-10-27 14:42:06
22,Kitimat,54.05,-128.65,51.01,95,100,3.0,CA,2020-10-27 14:40:22
23,Tres Passos,-27.46,-53.93,73.0,72,45,4.0,BR,2020-10-27 14:38:33
24,Ginda,30.69,78.49,64.4,82,0,5.21,IN,2020-10-27 14:42:13
25,Saint-Philippe,-21.36,55.77,77.0,69,0,4.7,RE,2020-10-27 14:41:57
