City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Saint-Philippe,RE,75.2,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
12,Bengkulu,ID,75.96,light rain,-3.8,102.27,Grage Hotel Bengkulu
13,Atuona,PF,77.99,light rain,-9.8,-139.03,Villa Enata
18,Lorengau,PG,80.26,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
21,Kununurra,AU,78.8,broken clouds,-15.77,128.73,Hotel Kununurra
24,Rikitea,PF,75.11,broken clouds,-23.12,-134.97,Pension Maro'i
32,Saint Marys,US,82.0,broken clouds,30.73,-81.55,Spencer House Inn
36,Samarai,PG,80.83,broken clouds,-10.62,150.67,Nuli Sapi
41,Zaraza,VE,85.59,light rain,9.35,-65.32,Hotel Zaraza
47,Tocok,PH,78.8,broken clouds,15.75,120.3,Dandan’s Garden & Farm Resort
55,Balaipungut,ID,75.97,light rain,1.05,101.28,Swee Ann Homestay
56,Acajutla,SV,82.4,scattered clouds,13.59,-89.83,Stop.
61,Quatre Cocos,MU,75.2,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
62,Batticaloa,LK,80.49,moderate rain,7.71,81.69,Grand Star Guest House
65,Wanning,CN,77.31,light rain,18.8,110.4,Paradise Hotel
73,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
79,Cabo San Lucas,MX,82.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
82,Cockburn Town,TC,86.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
83,Vaitape,PF,80.51,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
85,Santa Rosa,PH,81.0,scattered clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
86,Jibuti,DJ,84.2,clear sky,11.5,42.5,Orchid Main Camp Goubet
88,Castro,BR,77.95,few clouds,-24.79,-50.01,CHACARA BAILLY
92,Sibolga,ID,76.89,clear sky,1.74,98.78,Hotel Syariah CN Darussalam
95,Bambanglipuro,ID,76.59,overcast clouds,-7.95,110.28,Puri Brata
96,Kupang,ID,80.29,scattered clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
99,Cayenne,GF,89.6,clear sky,4.93,-52.33,Hôtel Le Dronmi
107,Kavaratti,IN,82.08,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
108,Black River,JM,87.8,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
110,Nata,PA,84.2,few clouds,8.33,-80.52,Cabañas Estancia Bayamon
112,Victoria,HK,77.0,overcast clouds,22.29,114.16,Mini Hotel Central
117,Mahebourg,MU,75.2,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
120,Belmonte,BR,86.0,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
122,Port Blair,IN,80.13,clear sky,11.67,92.75,Fortune Resort Bay Island
127,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
130,Tshikapa,CD,75.56,light rain,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
133,Dingle,PH,77.13,overcast clouds,11.0,122.67,Camp Pasica
140,Bathsheba,BB,86.0,shower rain,13.22,-59.52,Atlantis Hotel
142,Bonthe,SL,84.63,light rain,7.53,-12.51,Bonthe Holiday Village
145,Butaritari,KI,80.82,overcast clouds,3.07,172.79,Isles Sunset Lodge
146,Seminole,US,86.0,scattered clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
148,Patnanungan,PH,80.06,moderate rain,14.78,122.18,Laura Visah Transient House
151,Praia,CV,89.6,overcast clouds,14.92,-23.51,LT Aparthotel
154,Dzilam Gonzalez,MX,76.41,light rain,21.28,-88.93,Amina
163,Waddan,LY,80.17,scattered clouds,29.16,16.14,محل الشريف محمد العايب
172,Bubaque,GW,83.98,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
177,Bambous Virieux,MU,75.2,broken clouds,-20.34,57.76,Casa Tia Villa
178,Nabire,ID,76.21,light rain,-3.37,135.48,Hotel Nusantara Nabire
184,Port Keats,AU,79.84,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
186,Arraial Do Cabo,BR,82.4,clear sky,-22.97,-42.03,Pousada Porto Praia
191,Joaquim Gomes,BR,84.2,broken clouds,-9.14,-35.75,Aconchego do Porto Economy
192,Guatire,VE,81.0,light rain,10.48,-66.54,Parque Residencial Canaima I
198,Hithadhoo,MV,83.95,broken clouds,-0.6,73.08,Scoop Guest House
202,Sawakin,SD,84.36,clear sky,19.11,37.33,فندق الدويم
207,Bandarbeyla,SO,76.62,clear sky,9.49,50.81,REER XOOSHLE GROUP
208,Luanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
210,Najran,SA,75.2,clear sky,17.49,44.13,محمد هادي ال فطيح
217,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
218,Uthal,PK,76.66,clear sky,25.81,66.62,Al Madina Hotal
224,Meulaboh,ID,77.45,light rain,4.14,96.13,Kost Pria
228,Omboue,GA,77.99,broken clouds,-1.57,9.26,Hotel Olako
229,Sola,VU,79.0,broken clouds,-13.88,167.55,Ulkel Guest House
233,Ghanzi,BW,84.11,overcast clouds,-21.57,21.78,Ghanzi Farmhouse
235,Itarema,BR,86.92,scattered clouds,-2.92,-39.92,Windvillage
239,Souillac,MU,75.2,broken clouds,-20.52,57.52,Bils' Villa
243,Hambantota,LK,79.86,overcast clouds,6.12,81.12,Bungalow 63
245,Eyl,SO,79.05,broken clouds,7.98,49.82,Amiin Hotel
246,Poum,NC,76.26,broken clouds,-20.23,164.02,Gîte kajeon
247,Ambilobe,MG,75.94,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
248,Benguela,AO,76.69,clear sky,-12.58,13.41,Hotel Praia Morena
251,Kattivakkam,IN,82.4,mist,13.22,80.32,St. Joseph Thirumana mandapam
252,Umm Lajj,SA,82.58,clear sky,25.02,37.27,Moon light Furnished Units
258,Touros,BR,86.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
259,Tautira,PF,78.8,broken clouds,-17.73,-149.15,Pension Oaoa
261,Daulatpur,PK,77.0,haze,26.5,67.97,SHAHJEE HOUSE
268,Diego De Almagro,CL,79.03,clear sky,-26.37,-70.05,hotel luna del desierto
272,Pogonsili,PH,76.37,light rain,15.82,120.26,Nica's Palace Restaurant
275,Kalmunai,LK,80.6,light rain,7.42,81.82,VS Villa
279,Namatanai,PG,79.34,broken clouds,-3.67,152.43,Namatanai Hotel
280,Lufilufi,WS,75.2,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
283,Ixtapa,MX,88.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
