City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chanute,US,37.68,-95.46,32.0,97,90,9.17,freezing rain
1,Hobart,AU,-42.88,147.33,48.2,93,75,4.7,broken clouds
2,Albany,US,42.6,-73.97,51.01,63,56,6.17,broken clouds
3,Pozo Colorado,PY,-23.49,-58.8,93.49,24,0,3.33,clear sky
4,Hermanus,ZA,-34.42,19.23,64.0,85,99,4.0,overcast clouds
5,Fortuna,US,40.6,-124.16,55.4,35,1,8.05,clear sky
6,Saint-Philippe,RE,-21.36,55.77,75.2,73,75,2.24,broken clouds
7,Busselton,AU,-33.65,115.33,60.01,72,60,10.22,broken clouds
8,Hilo,US,19.73,-155.09,73.4,88,75,5.64,broken clouds
9,Yellowknife,CA,62.46,-114.35,19.4,67,90,11.41,light snow
10,Upernavik,GL,72.79,-56.15,18.07,84,0,7.0,clear sky
11,Pisco,PE,-13.7,-76.22,69.8,68,0,8.05,clear sky
12,Bengkulu,ID,-3.8,102.27,75.96,86,95,3.51,light rain
13,Atuona,PF,-9.8,-139.03,77.99,77,45,22.93,light rain
14,Ushuaia,AR,-54.8,-68.3,44.6,48,40,19.46,scattered clouds
15,Tiksi,RU,71.69,128.87,1.54,92,90,8.12,overcast clouds
16,Yaan,NG,7.38,8.57,83.12,62,9,0.76,clear sky
17,Port Alfred,ZA,-33.59,26.89,71.37,87,70,11.32,broken clouds
18,Lorengau,PG,-2.02,147.27,80.26,76,83,1.39,broken clouds
19,Puerto Ayora,EC,-0.74,-90.35,73.4,78,75,11.41,broken clouds
20,Tasiilaq,GL,65.61,-37.64,33.8,47,75,17.22,broken clouds
21,Kununurra,AU,-15.77,128.73,78.8,88,80,5.82,broken clouds
22,Shitanjing,CN,39.23,106.34,41.86,55,100,1.3,overcast clouds
23,Esperance,AU,-33.87,121.9,55.4,100,15,4.7,few clouds
24,Rikitea,PF,-23.12,-134.97,75.11,85,73,16.53,broken clouds
25,Fairbanks,US,64.84,-147.72,27.0,100,90,3.36,light snow
26,Mar Del Plata,AR,-38.0,-57.56,66.2,55,0,10.29,clear sky
27,Kapaa,US,22.08,-159.32,71.6,83,40,8.05,scattered clouds
28,Mataura,NZ,-46.19,168.86,39.0,92,16,1.01,few clouds
29,New Norfolk,AU,-42.78,147.06,46.99,85,98,1.68,overcast clouds
30,Barrow,US,71.29,-156.79,30.2,80,75,9.17,broken clouds
31,Loreto,MX,22.27,-101.97,71.92,42,89,7.63,overcast clouds
32,Saint Marys,US,30.73,-81.55,82.0,81,73,7.0,broken clouds
33,Hasaki,JP,35.73,140.83,55.0,93,20,5.82,few clouds
34,Yondo,CO,7.01,-73.91,92.62,53,65,0.81,heavy intensity rain
35,Jamestown,US,42.1,-79.24,46.0,87,90,5.82,overcast clouds
36,Samarai,PG,-10.62,150.67,80.83,84,80,6.58,broken clouds
37,Punta Arenas,CL,-53.15,-70.92,48.2,45,40,12.75,scattered clouds
38,Okha,RU,53.57,142.95,35.85,86,93,3.6,overcast clouds
39,Russkiy Kameshkir,RU,52.86,46.09,32.65,88,29,5.61,scattered clouds
40,Benicarlo,ES,40.42,0.43,55.99,55,19,3.0,few clouds
41,Zaraza,VE,9.35,-65.32,85.59,73,24,5.37,light rain
42,Vaini,TO,-21.2,-175.2,71.6,88,40,9.17,scattered clouds
43,Cape Town,ZA,-33.93,18.42,66.0,72,40,3.36,scattered clouds
44,Yeppoon,AU,-23.13,150.73,68.0,88,74,6.17,broken clouds
45,Torbay,CA,47.67,-52.73,41.0,100,90,9.17,light rain
46,Port Lincoln,AU,-34.73,135.87,55.17,88,0,5.91,clear sky
47,Tocok,PH,15.75,120.3,78.8,88,75,4.7,broken clouds
48,Port Elizabeth,ZA,-33.92,25.57,64.4,88,0,11.41,clear sky
49,Bolobo,CD,-2.17,16.23,79.57,74,42,0.89,light rain
50,Talnakh,RU,69.49,88.4,1.4,84,0,6.71,clear sky
51,Kericho,KE,-0.37,35.28,73.4,69,75,3.36,broken clouds
52,Kaitangata,NZ,-46.28,169.85,48.0,78,4,1.99,clear sky
53,Aldan,RU,58.6,125.39,9.57,96,100,7.2,light snow
54,Nizhniy Odes,RU,63.64,54.86,29.1,98,100,8.21,overcast clouds
55,Balaipungut,ID,1.05,101.28,75.97,89,81,0.67,light rain
56,Acajutla,SV,13.59,-89.83,82.4,65,40,2.24,scattered clouds
57,Nemuro,JP,43.32,145.57,49.69,69,53,4.03,broken clouds
58,Port Hedland,AU,-20.32,118.57,71.6,88,40,4.7,scattered clouds
59,Canico,PT,32.63,-16.85,68.0,68,75,12.75,broken clouds
60,Tabory,RU,58.52,64.55,21.13,96,92,8.3,overcast clouds
61,Quatre Cocos,MU,-20.21,57.76,75.2,73,75,5.82,broken clouds
62,Batticaloa,LK,7.71,81.69,80.49,80,34,5.28,moderate rain
63,Klaksvik,FO,62.23,-6.59,42.8,75,49,6.93,scattered clouds
64,Moyale,KE,3.52,39.06,70.56,78,42,6.55,light rain
65,Wanning,CN,18.8,110.4,77.31,91,100,20.62,light rain
66,Iqaluit,CA,63.75,-68.51,15.8,72,40,5.82,light snow
67,Avarua,CK,-21.21,-159.78,69.8,83,100,8.05,light rain
68,Severo-Kurilsk,RU,50.68,156.12,42.33,84,6,7.02,clear sky
69,Marhaura,IN,25.97,84.87,68.0,77,0,5.61,mist
70,Stepnyak,KZ,52.83,70.78,31.24,98,98,16.44,overcast clouds
71,Chokurdakh,RU,70.63,147.92,8.24,95,100,2.26,overcast clouds
72,Provideniya,RU,64.38,-173.3,30.13,95,88,2.71,overcast clouds
73,San Cristobal,VE,7.77,-72.22,86.0,58,40,5.82,scattered clouds
74,Kruisfontein,ZA,-34.0,24.73,66.99,84,90,1.99,overcast clouds
75,Pacific Grove,US,36.62,-121.92,62.01,24,1,4.7,clear sky
76,Luderitz,NA,-26.65,15.16,60.82,69,57,14.14,broken clouds
77,Yar-Sale,RU,66.83,70.83,4.15,94,13,6.85,few clouds
78,Ayacucho,PE,-13.16,-74.22,71.6,33,20,2.24,few clouds
79,Cabo San Lucas,MX,22.89,-109.91,82.99,69,5,4.72,clear sky
80,Biltine,TD,14.53,20.92,90.12,14,2,9.13,clear sky
81,Chuy,UY,-33.7,-53.46,63.27,80,100,16.87,light rain
82,Cockburn Town,TC,21.46,-71.14,86.0,66,75,11.41,broken clouds
83,Vaitape,PF,-16.52,-151.75,80.51,81,77,17.45,broken clouds
84,Pevek,RU,69.7,170.31,19.94,96,100,16.58,light snow
85,Santa Rosa,PH,14.31,121.11,81.0,83,40,1.12,scattered clouds
86,Jibuti,DJ,11.5,42.5,84.2,58,1,6.93,clear sky
87,Thinadhoo,MV,0.53,72.93,83.73,68,37,8.34,scattered clouds
88,Castro,BR,-24.79,-50.01,77.95,41,21,9.51,few clouds
89,Pangnirtung,CA,66.15,-65.71,14.0,61,20,5.82,few clouds
90,Praia Da Vitoria,PT,38.73,-27.07,66.2,63,40,14.25,scattered clouds
91,Djenne,ML,13.91,-4.55,97.36,9,12,8.81,few clouds
92,Sibolga,ID,1.74,98.78,76.89,78,10,3.24,clear sky
93,Edd,ER,13.93,41.69,86.04,50,0,16.26,clear sky
94,Ukiah,US,39.15,-123.21,70.0,48,1,2.13,clear sky
