City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.78,147.06,54.0,82,100,1.01,AU,2020-10-23 16:15:41
1,Rio Gallegos,-51.62,-69.22,50.0,76,90,4.7,AR,2020-10-23 16:15:41
2,Sola,-13.88,167.55,78.37,86,79,19.53,VU,2020-10-23 16:15:41
3,Warmbad,-28.45,18.73,97.11,13,37,3.47,NA,2020-10-23 16:15:42
4,Atuona,-9.8,-139.03,77.27,80,19,20.96,PF,2020-10-23 16:15:42
5,Port Shepstone,-30.74,30.45,72.27,82,10,25.55,ZA,2020-10-23 16:15:42
6,Kodiak,57.79,-152.41,44.6,93,90,26.4,US,2020-10-23 16:15:42
7,Payo,-3.75,103.64,74.77,92,100,1.68,ID,2020-10-23 16:15:42
8,Ushuaia,-54.8,-68.3,46.4,61,40,17.22,AR,2020-10-23 16:15:43
9,Hilo,19.73,-155.09,71.6,78,1,4.7,US,2020-10-23 16:15:43
10,Hamilton,39.18,-84.53,75.99,78,75,9.17,US,2020-10-23 16:15:01
11,Jamestown,42.1,-79.24,73.0,68,1,10.29,US,2020-10-23 16:12:24
12,Punta Arenas,-53.15,-70.92,44.6,75,75,8.05,CL,2020-10-23 16:14:33
13,Volodarskiy,46.4,48.54,53.6,81,0,8.95,RU,2020-10-23 16:15:43
14,Orocue,4.79,-71.34,89.73,62,30,1.57,CO,2020-10-23 16:15:44
15,Koutiala,12.39,-5.46,97.5,16,39,16.37,ML,2020-10-23 16:15:44
16,Mahebourg,-20.41,57.7,75.2,69,40,11.41,MU,2020-10-23 16:15:44
17,Puerto Ayora,-0.74,-90.35,73.4,83,75,13.87,EC,2020-10-23 16:15:44
18,Cape Town,-33.93,18.42,71.01,88,75,11.41,ZA,2020-10-23 16:13:03
19,Gat,31.61,34.76,80.6,65,0,8.05,IL,2020-10-23 16:15:45
20,Preobrazheniye,42.9,133.91,34.48,82,0,17.36,RU,2020-10-23 16:10:58
21,Albany,42.6,-73.97,71.01,76,48,1.01,US,2020-10-23 16:14:42
22,Ndele,8.41,20.65,78.39,79,87,1.45,CF,2020-10-23 16:15:45
23,Oranjemund,-28.55,16.43,62.49,77,13,6.38,NA,2020-10-23 16:15:45
24,Sao Filipe,14.9,-24.5,81.64,73,1,12.88,CV,2020-10-23 16:15:45
25,Saldanha,-33.01,17.94,69.8,64,33,5.82,ZA,2020-10-23 16:15:45
26,Bud,39.45,-86.18,71.6,78,20,13.87,US,2020-10-23 16:15:45
27,Khorixas,-20.37,14.97,82.49,36,78,20.6,NA,2020-10-23 16:15:46
28,Rikitea,-23.12,-134.97,73.9,78,48,3.51,PF,2020-10-23 16:15:46
29,Hoi An,15.88,108.33,71.6,83,40,9.17,VN,2020-10-23 16:15:46
30,Butaritari,3.07,172.79,82.31,70,90,12.37,KI,2020-10-23 16:15:46
31,Lata,40.16,-8.33,66.99,74,62,5.01,PT,2020-10-23 16:15:46
32,Lebu,-37.62,-73.65,55.53,60,95,6.38,CL,2020-10-23 16:15:47
33,Ribeira Grande,38.52,-28.7,69.8,68,40,13.87,PT,2020-10-23 16:15:47
34,Zemes,46.58,26.42,59.0,67,0,9.17,RO,2020-10-23 16:15:47
35,Waipawa,-41.41,175.52,57.2,71,39,21.92,NZ,2020-10-23 16:15:47
36,Chikhli,20.35,76.25,75.52,63,9,2.98,IN,2020-10-23 16:15:47
37,Esperance,-33.87,121.9,53.6,100,90,5.82,AU,2020-10-23 16:15:47
38,Vaini,-21.2,-175.2,71.6,88,20,9.17,TO,2020-10-23 16:15:47
39,Kapaa,22.08,-159.32,70.0,59,10,8.01,US,2020-10-23 16:15:48
40,Findlay,41.04,-83.65,78.8,61,40,18.34,US,2020-10-23 16:12:25
41,Cabo San Lucas,22.89,-109.91,86.0,74,5,3.36,MX,2020-10-23 16:11:14
42,Fortuna,40.6,-124.16,41.0,93,1,6.93,US,2020-10-23 16:15:48
43,Mataura,-46.19,168.86,54.0,74,88,7.0,NZ,2020-10-23 16:15:48
44,Arraial Do Cabo,-22.97,-42.03,80.6,54,20,16.11,BR,2020-10-23 16:15:49
45,Bredasdorp,-34.53,20.04,71.6,78,39,11.41,ZA,2020-10-23 16:15:49
46,Rock Springs,41.59,-109.2,17.6,72,1,1.19,US,2020-10-23 16:15:49
47,Yellowknife,62.46,-114.35,21.2,92,75,8.05,CA,2020-10-23 16:14:10
48,Khatanga,71.97,102.5,6.8,95,100,7.02,RU,2020-10-23 16:15:49
49,Teya,60.38,92.63,28.65,97,78,2.51,RU,2020-10-23 16:15:49
50,Cherskiy,68.75,161.3,17.8,94,75,6.13,RU,2020-10-23 16:15:49
51,Kiruna,67.86,20.23,26.6,79,91,13.87,SE,2020-10-23 16:15:50
52,Ulladulla,-35.35,150.47,64.99,100,90,8.05,AU,2020-10-23 16:15:50
53,Chokurdakh,70.63,147.92,6.35,90,33,5.84,RU,2020-10-23 16:15:50
54,Tiksi,71.69,128.87,17.35,96,100,7.7,RU,2020-10-23 16:15:50
55,Castro,-24.79,-50.01,74.3,61,43,5.44,BR,2020-10-23 16:15:50
56,Faanui,-16.48,-151.75,78.53,76,79,10.69,PF,2020-10-23 16:15:51
57,Busselton,-33.65,115.33,57.0,42,0,13.65,AU,2020-10-23 16:15:51
58,Dayong,25.02,118.29,68.0,40,0,13.42,CN,2020-10-23 16:15:51
59,Nishihara,26.18,127.76,71.6,49,75,9.17,JP,2020-10-23 16:15:51
60,Pevek,69.7,170.31,26.94,95,0,12.66,RU,2020-10-23 16:15:51
61,Qaanaaq,77.48,-69.36,19.98,94,100,9.19,GL,2020-10-23 16:15:51
62,Saint-Georges,12.06,-61.75,82.69,80,82,14.58,GD,2020-10-23 16:12:07
63,Rudbar,30.15,62.6,62.53,30,0,13.89,AF,2020-10-23 16:15:51
64,Manuk Mangkaw,4.8,119.85,83.66,75,70,8.21,PH,2020-10-23 16:15:52
65,Port Alfred,-33.59,26.89,76.03,73,56,11.12,ZA,2020-10-23 16:15:52
66,Jardim,-21.48,-56.14,92.08,44,40,6.58,BR,2020-10-23 16:12:07
67,Taltal,-25.4,-70.48,63.14,61,21,8.08,CL,2020-10-23 16:15:52
68,Bluff,-46.6,168.33,54.0,74,95,7.0,NZ,2020-10-23 16:15:52
69,Saint-Philippe,-21.36,55.77,75.2,73,20,17.22,RE,2020-10-23 16:15:52
70,Ginda,30.69,78.49,53.69,49,0,5.23,IN,2020-10-23 16:15:53
71,Grindavik,63.84,-22.43,42.8,87,75,28.86,IS,2020-10-23 16:15:53
72,Tasiilaq,65.61,-37.64,35.6,51,75,5.82,GL,2020-10-23 16:15:53
73,Tandil,-37.32,-59.13,66.99,70,99,1.99,AR,2020-10-23 16:15:53
74,Tuktoyaktuk,69.45,-133.04,23.0,85,75,10.29,CA,2020-10-23 16:15:53
75,Guayaramerin,-10.84,-65.36,99.72,34,58,4.25,BO,2020-10-23 16:15:53
76,Mandalgovi,45.76,106.27,37.74,61,82,7.02,MN,2020-10-23 16:15:53
77,Warrington,53.39,-2.58,55.0,71,40,12.75,GB,2020-10-23 16:15:54
78,Hermanus,-34.42,19.23,75.0,72,19,5.01,ZA,2020-10-23 16:15:54
79,Beberibe,-4.18,-38.13,87.8,62,40,18.34,BR,2020-10-23 16:15:54
80,San Patricio,28.02,-97.52,84.99,83,40,3.36,US,2020-10-23 16:15:54
81,Ngunguru,-35.62,174.5,60.01,96,64,4.41,NZ,2020-10-23 16:15:54
82,Sciacca,37.51,13.09,64.0,86,31,4.0,IT,2020-10-23 16:15:55
83,Hobart,-42.88,147.33,54.0,76,90,1.81,AU,2020-10-23 16:13:09
84,La Ronge,55.1,-105.28,21.2,79,90,10.29,CA,2020-10-23 16:11:23
85,Guerrero Negro,27.98,-114.06,69.87,67,54,8.23,MX,2020-10-23 16:15:55
86,Banda Aceh,5.56,95.32,81.28,77,99,5.68,ID,2020-10-23 16:15:55
87,Flinders,-34.58,150.86,66.99,90,100,1.01,AU,2020-10-23 16:15:55
88,Copiapo,-27.37,-70.33,57.2,71,90,5.82,CL,2020-10-23 16:14:46
89,Haines Junction,60.75,-137.51,16.0,88,0,1.03,CA,2020-10-23 16:15:55
90,Gewane,10.17,40.65,91.72,16,27,8.41,ET,2020-10-23 16:15:56
91,Norman Wells,65.28,-126.83,21.2,92,90,4.7,CA,2020-10-23 16:15:56
92,Pelym,61.01,62.0,23.31,94,0,4.05,RU,2020-10-23 16:15:56
93,Camacha,33.08,-16.33,71.6,53,20,12.75,PT,2020-10-23 16:15:56
94,Lorengau,-2.02,147.27,81.82,73,26,6.02,PG,2020-10-23 16:15:56
95,Nanortalik,60.14,-45.24,35.51,81,100,5.99,GL,2020-10-23 16:15:56
96,Hithadhoo,-0.6,73.08,82.83,77,0,12.1,MV,2020-10-23 16:15:56
97,Buchanan,5.88,-10.05,78.8,94,75,7.92,LR,2020-10-23 16:15:56
98,Yarmouth,41.71,-70.23,68.0,64,1,5.82,US,2020-10-23 16:15:57
99,Coihaique,-45.58,-72.07,57.2,47,75,9.17,CL,2020-10-23 16:15:57
100,Turukhansk,65.82,87.98,9.93,96,98,8.48,RU,2020-10-23 16:15:57
101,Dawlatabad,36.41,64.91,46.62,53,0,3.29,AF,2020-10-23 16:15:57
102,Benesov Nad Ploucnici,50.74,14.31,55.0,97,100,5.55,CZ,2020-10-23 16:15:57
103,Airai,-8.93,125.41,63.05,100,82,0.76,TL,2020-10-23 16:15:58
104,Phan Thiet,10.93,108.1,77.72,83,100,3.22,VN,2020-10-23 16:15:58
105,Stornoway,58.21,-6.39,46.4,87,40,8.05,GB,2020-10-23 16:15:58
106,Pringsewu,-5.36,104.97,75.43,86,38,5.23,ID,2020-10-23 16:15:58
107,Honiara,-9.43,159.95,73.4,94,20,5.64,SB,2020-10-23 16:15:58
